country,year,result
Argentina,1998,QF
Argentina,2006,QF
Argentina,2010,QF
Argentina,2014,RU
Argentina,2022,W
Belgium,2014,QF
Belgium,2018,SF
Brazil,1998,RU
Brazil,2002,W
Brazil,2006,QF
Brazil,2010,QF
Brazil,2014,SF
Brazil,2018,QF
Brazil,2022,QF
Colombia,2014,QF
Costa Rica,2014,QF
Croatia,1998,SF
Croatia,2018,RU
Croatia,2022,SF
Denmark,1998,QF
England,2002,QF
England,2006,QF
England,2018,SF
England,2022,QF
France,1998,W
France,2006,RU
France,2014,QF
France,2018,W
France,2022,RU
Germany,1998,QF
Germany,2002,RU
Germany,2006,SF
Germany,2010,SF
Germany,2014,W
Ghana,2010,QF
Italy,1998,QF
Italy,2006,W
Morocco,2022,SF
Netherlands,1998,SF
Netherlands,2010,RU
Netherlands,2014,SF
Netherlands,2022,QF
Paraguay,2010,QF
Portugal,2006,SF
Portugal,2022,QF
Russia,2018,QF
Senegal,2002,QF
South Korea,2002,SF
Spain,2002,QF
Spain,2010,W
Sweden,2018,QF
Turkey,2002,SF
Ukraine,2006,QF
United States,2002,QF
Uruguay,2010,SF
Uruguay,2018,QF
